"org","site","pct_this","pct_that","pct_other","num_things","narrative","program","programType"
"Neptune","Australia",0.63,0.86,0.13,158,"""Now, here,"" replied Mr. Jaggers, fixing me for the first time with his dark deep-set eyes, ""we must revert to the evening when we first encountered one another in your village. What did I tell you then, Pip?""","Scrabble","Games"
"Jupiter","Vanuatu",0.69,0.48,0.2,212,"""Now, Mr. Pip, you know,"" said Wemmick, ""you and I understand one another. We are in our private and personal capacities, and we have been engaged in a confidential transaction before to-day. Official sentiments are one thing. We are extra official.""","Mozart","Composers"
"Mars","Philippines",0.92,0.14,0.46,271,"""As you say, Pip,"" returned Mr. Jaggers, turning his eyes upon me coolly, and taking a bite at his forefinger, ""I am not at all responsible for that.""","Debussy","Composers"
"Saturn","Burkina Faso",0.82,0.72,0.95,242,"""You know I never shall be, so that's always. Not that I have any occasion to tell you anything, for you know everything I know,—as I told you at home the other night.""","Stratego","Games"
"Uranus","South Africa",0.99,0.96,0.55,239,"She was so quiet, and had such an orderly, good, and pretty way with her, that I did not like the thought of making her cry again. After looking a little at her downcast eyes as she walked beside me, I gave up that point.","JS Bach","Composers"
"Saturn","Mexico",0.02,0.41,0.53,266,"""But yours cannot be dismissed; indeed, my dear dear Handel, it must not be dismissed. I wish you would enter on it now, as far as a few friendly words go, with me.""","Stratego","Games"
"Pluto","Timor-Leste (East Timor)",0.55,0.05,0.45,261,"Tolerably, for I had gone up the staircase in the dark, many a time. I ascended it now, in lighter boots than of yore, and tapped in my old way at the door of Miss Havisham's room. ""Pip's rap,"" I heard her say, immediately; ""come in, Pip.""","Monopoly","Games"
"Mars","Slovakia (Slovak Republic)",0.96,0.85,0.36,187,"I looked about me, but there appeared to be now no possible escape from the inquiry, ""Have-I—anything to receive, sir?"" On that, Mr. Jaggers said, triumphantly, ""I thought we should come to it!"" and called to Wemmick to give him that piece of paper. Wemmick appeared, handed it in, and disappeared.","Mozart","Composers"
"Saturn","Spain",0.84,0.03,0.91,275,"""I don't know what possessed me, Joe,"" I replied, letting his shirt sleeve go, and sitting down in the ashes at his feet, hanging my head; ""but I wish you hadn't taught me to call Knaves at cards Jacks; and I wish my boots weren't so thick nor my hands so coarse.""","CLUE","Games"
"Earth","El Salvador",0.93,0.5,0.54,247,"""As to the absence of plate, that's only his natural depth, you know. A river's its natural depth, and he's his natural depth. Look at his watch-chain. That's real enough.""","Handel","Composers"
"Uranus","Tunisia",0.76,0.56,0.57,217,"""Well, sir,"" returned one of them, bending down and touching me on the shoulder, ""this is a matter that you'll soon arrange, I dare say, but you're arrested.""","Dominion","Games"
"Venus","Bahrain",0.63,0.86,0.69,233,"""Says Compeyson: 'Why, you fool, don't you know she's got a living body? And how should she be up there, without coming through the door, or in at the window, and up the stairs?'","Puerto Rico","Games"
"Venus","Zimbabwe",0,0.51,0.34,229,"I leaned down, and her calm face was like a statue's. ""Now,"" said Estella, gliding away the instant I touched her cheek, ""you are to take care that I have some tea, and you are to take me to Richmond.""","Monopoly","Games"
"Pluto","Saint Vincent and the Grenadines",0.95,0.38,0.11,203,"""Which she received,"" I struck in, ""when she was dressing for her marriage? At twenty minutes to nine?""","Monopoly","Games"
"Neptune","Turks and Caicos Islands",0.07,0.44,0.96,202,"""Never mind what I make it, my friend,"" observed Mr. Jaggers, with a knowing and contradictory toss of his head. ""I want to know what you make it.""","Chopin","Composers"
"Saturn","Japan",0.3,0.16,0.5,283,"""O Miss Havisham,"" said I, ""I can do it now. There have been sore mistakes; and my life has been a blind and thankless one; and I want forgiveness and direction far too much, to be bitter with you.""","Settlers of Catan","Games"
"Saturn","Sri Lanka",0.2,0.47,0.45,226,"At first, I had to shut some gates after me, and now and then to stand still while the cattle that were lying in the banked-up pathway arose and blundered down among the grass and reeds. But after a little while I seemed to have the whole flats to myself.","CLUE","Games"
"Neptune","Reunion Island",0.04,0.44,0.79,315,"In about a month after that, the Spider's time with Mr. Pocket was up for good, and, to the great relief of all the house but Mrs. Pocket, he went home to the family hole.","UNO","Games"
"Saturn","Botswana",0.17,0.01,0.77,246,"So, when we had walked home and had had tea, I took Biddy into our little garden by the side of the lane, and, after throwing out in a general way for the elevation of her spirits, that I should never forget her, said I had a favor to ask of her.","Brahms","Composers"
"Neptune","Virgin Islands (British)",0.76,0.4,0.46,222,"""I think,"" said Joe, after meditating a long time, and looking rather evasively at the window-seat, ""as I did hear tell that how he were something or another in a general way in that direction.""","Dvorak","Composers"
"Earth","Bulgaria",0.07,0.42,0.85,241,"""Compeyson, he looks at me very noticing, and I look at him. He has a watch and a chain and a ring and a breast-pin and a handsome suit of clothes.","Apples to Apples","Games"
"Neptune","Congo, Republic of(Brazzaville)",0.81,0.01,0.15,293,"The sergeant ran in first, when we had run the noise quite down, and two of his men ran in close upon him. Their pieces were cocked and levelled when we all ran in.","Tchaikovsky","Composers"
"Jupiter","Cambodia",0.64,0.1,0.33,354,"Miss Sarah Pocket, whom I now saw to be a little dry, brown, corrugated old woman, with a small face that might have been made of walnut-shells, and a large mouth like a cat's without the whiskers, supported this position by saying, ""No, indeed, my dear. Hem!""","Chess","Games"
"Venus","Kyrgyzstan",0.93,0.49,0.14,229,"""No, no,"" said Wemmick, coolly, ""you don't care."" Then, turning to me, ""Served His Majesty this man. Was a soldier in the line and bought his discharge.""","Ticket to Ride","Games"
"Venus","Aruba",0.15,0.08,0.71,272,"""Here's Mr. Pip, aged parent,"" said Wemmick, ""and I wish you could hear his name. Nod away at him, Mr. Pip; that's what he likes. Nod away at him, if you please, like winking!""","Mozart","Composers"
"Neptune","Marshall Islands",0.7,0.65,0.64,255,"Herbert shrugged his shoulders. ""There has always been an Estella, since I have heard of a Miss Havisham. I know no more. And now, Handel,"" said he, finally throwing off the story as it were, ""there is a perfectly open understanding between us. All that I know about Miss Havisham, you know.""","Handel","Composers"
"Earth","Seychelles",0.42,0.78,0.37,226,"""Stop!"" said I, almost in a frenzy of fear and dislike, ""I want to speak to you. I want to know what is to be done. I want to know how you are to be kept out of danger, how long you are going to stay, what projects you have.""","Dvorak","Composers"
"Neptune","Papua New Guinea",0.05,0.02,0.65,300,"""Well, boy,"" Uncle Pumblechook began, as soon as he was seated in the chair of honor by the fire. ""How did you get on up town?""","Chess","Games"
"Venus","Jamaica",0.96,0.28,0.3,214,"""Why, of course, my dear boy,"" returned Herbert, in a tone of surprise, and again bending forward to get a nearer look at me. ""He says it all. I have no other information.""","Scrabble","Games"
"Earth","New Zealand",0.81,0.51,0.24,261,"It was at this dark time of my life that Herbert returned home one evening, a good deal cast down, and said,—","Brahms","Composers"
"Jupiter","China",0.14,0.92,0.26,181,"""Handel,"" said Herbert, stopping, ""you feel convinced that you can take no further benefits from him; do you?""","Dominion","Games"
"Uranus","Pitcairn Island",0.6,0.09,0.47,271,"Her entrapped hand was on the table, but she had already put her other hand behind her waist. ""Master,"" she said, in a low voice, with her eyes attentively and entreatingly fixed upon him. ""Don't.""","Puerto Rico","Games"
"Mars","Micronesia, Federal States of",0.88,0.54,0.85,268,"""Come in, Pip,"" Miss Havisham continued to mutter, without looking round or up; ""come in, Pip, how do you do, Pip? so you kiss my hand as if I were a queen, eh?—Well?""","Stratego","Games"
"Venus","Guinea",0.38,0.18,0.11,294,"""Quite my opinion,"" said Drummle, ""and what I should have suggested myself, or done—more likely—without suggesting. But don't lose your temper. Haven't you lost enough without that?""","Mendelssohn","Composers"
"Mars","Greenland",0.18,0.58,0.37,162,"We all began to suspect that Mr. Wopsle was not the man we had thought him, and that he was beginning to be found out.","Risk","Games"
"Jupiter","Uganda",0.85,0.5,0.68,250,"Some weeks passed without bringing any change. We waited for Wemmick, and he made no sign. If I had never known him out of Little Britain, and had never enjoyed the privilege of being on a familiar footing at the Castle, I might have doubted him; not so for a moment, knowing him as I did.","Ticket to Ride","Games"
"Saturn","Equatorial Guinea",0.68,0.46,0.9,278,"""But I am not a fortune-teller,"" he said, letting his head drop into a festoon of towel, and towelling away at his two ears. ""You know what I am, don't you? Good night, Pip.""","CLUE","Games"
"Saturn","Serbia",0.16,0.96,0.07,277,"""I have got so out of it!"" said Mr. Wemmick,—""except at last. Very glad, I'm sure, to make your acquaintance. Good day!""","Stravinsky","Composers"
"Pluto","Israel",0.78,0.38,0.69,168,"It happened on the occasion of this visit that some sharp words arose between Estella and Miss Havisham. It was the first time I had ever seen them opposed.","Dvorak","Composers"
"Saturn","Montserrat",0.09,0.21,0.86,258,"""You're a foul shrew, Mother Gargery,"" growled the journeyman. ""If that makes a judge of rogues, you ought to be a good'un.""","Trivial Pursuit","Games"
"Neptune","Malawi",0.39,0.72,0.52,277,"""I thought and hoped you could not mean it. You, so young, untried, and beautiful, Estella! Surely it is not in Nature.""","Brahms","Composers"
"Jupiter","Korea, Republic of (South Korea)",0.12,0.95,1,165,"I found, now I had leisure to count them, that there were no fewer than six little Pockets present, in various stages of tumbling up. I had scarcely arrived at the total when a seventh was heard, as in the region of air, wailing dolefully.","Chess","Games"
"Uranus","Romania",0.75,0.81,0.57,161,"""Hah!"" said Mrs. Joe, restoring Tickler to his station. ""Churchyard, indeed! You may well say churchyard, you two."" One of us, by the by, had not said it at all. ""You'll drive me to the churchyard betwixt you, one of these days, and O, a pr-r-recious pair you'd be without me!""","UNO","Games"
"Jupiter","Netherlands Antilles",0.05,0.16,0.89,321,"""When he come to the grave,"" said our conductor, ""he showed his cloak beautiful. But, judging from the wing, it looked to me that when he see the ghost in the queen's apartment, he might have made more of his stockings.""","Mendelssohn","Composers"
"Neptune","Brazil",0.08,0.56,0.17,266,"My eye had been caught by a gun with a brass-bound stock over the chimney-piece, and his eye had followed mine.","Mozart","Composers"
"Saturn","Colombia",0.45,0.25,0.17,204,"""Come!"" said the stranger, ""I'll help you. You don't deserve help, but I'll help you. Look at that paper you hold in your hand. What is it?""","UNO","Games"
"Saturn","Peru",0.06,0.83,0.57,273,"""Well,"" said Joe, with the same appearance of profound cogitation, ""he is not—no, not to deceive you, he is not—my nevvy.""","Handel","Composers"
"Earth","Lesotho",0,0.76,0.49,204,"She? I looked at Joe, making the motion with my lips and eyebrows, ""She?"" Joe looked at me, making the motion with his lips and eyebrows, ""She?"" My sister catching him in the act, he drew the back of his hand across his nose with his usual conciliatory air on such occasions, and looked at her.","Mendelssohn","Composers"
"Earth","Central African Republic",0.42,0.68,0.22,257,"""Always seems to me,"" said Wemmick, ""as if he had set a man-trap and was watching it. Suddenly-click—you're caught!""","Trivial Pursuit","Games"
"Saturn","Andorra",1,0.47,0.8,251,"""Did she?"" said Mr. Jaggers, bending forward to look at his boots and then straightening himself. ""Hah! I don't think I should have done so, if I had been Miss Havisham. But she ought to know her own business best.""","Risk","Games"
"Earth","Uzbekistan",0.36,0.45,0.74,249,"""What the Blue Blazes is he?"" asked the stranger. Which appeared to me to be an inquiry of unnecessary strength.","Schumann","Composers"
"Earth","Azerbaijan",0.8,0.56,0.37,208,"""Pip,"" said Mr. Jaggers, laying his hand upon my arm, and smiling openly, ""this man must be the most cunning impostor in all London.""","Liszt","Composers"
"Venus","Trinidad and Tobago",0.15,0.22,0.77,244,"""Pip,"" said Estella, casting her glance over the room, ""don't be foolish about its effect on you. It may have its effect on others, and may be meant to have. It's not worth discussing.""","Tchaikovsky","Composers"
"Pluto","Guyana",0.28,0.56,0.21,245,"When we came near the churchyard, we had to cross an embankment, and get over a stile near a sluice-gate. There started up, from the gate, or from the rushes, or from the ooze (which was quite in his stagnant way), Old Orlick.","Puerto Rico","Games"
"Venus","Korea, Democratic People's Rep. (North Korea)",0.5,0.87,0.84,160,"Mindful, then, of what we had read together, I thought of the two men who went up into the Temple to pray, and I knew there were no better words that I could say beside his bed, than ""O Lord, be merciful to him a sinner!""","JS Bach","Composers"
"Neptune","Turkmenistan",0.08,0.4,0.37,190,"Biddy sighed as she looked at the ships sailing on, and returned for answer, ""Yes; I am not over-particular."" It scarcely sounded flattering, but I knew she meant well.","Debussy","Composers"
"Neptune","Antigua and Barbuda",0.46,0.31,0.49,219,"""Then to make an end of it,"" said Joe, delightedly handing the bag to my sister; ""it's five-and-twenty pound.""","Dominion","Games"
"Uranus","Togo",0.31,0.94,0.03,207,"We went on our way up stairs after this episode; and, as we were going up, we met a gentleman groping his way down.","Monopoly","Games"
"Venus","Zambia",0.21,1,0.93,223,"""I have been informed by Wemmick,"" pursued Mr. Jaggers, still looking hard at me, ""that he has received a letter, under date Portsmouth, from a colonist of the name of Purvis, or—""","Stravinsky","Composers"
"Neptune","Djibouti",0.09,0.44,0.77,323,"""The night being so bad, sir,"" said the watchman, as he gave me back my glass, ""uncommon few have come in at my gate. Besides them three gentlemen that I have named, I don't call to mind another since about eleven o'clock, when a stranger asked for you.""","Brahms","Composers"
"Earth","Bosnia and Herzegovina",0.71,0.53,0.08,178,"""I know more of the history of Miss Havisham's adopted child than Miss Havisham herself does, sir. I know her mother.""","Chopin","Composers"
"Earth","Finland",0.02,0.79,0.6,260,"""Where did you learn how I speak of others? Come, come,"" said Estella, smiling delightfully, ""you must not expect me to go to school to you; I must talk in my own way. How do you thrive with Mr. Pocket?""","Mozart","Composers"
"Mars","Kazakhstan",0.46,0.41,0.94,306,"""Well!"" cried my sister, with a mollified glance at Mr. Pumblechook. ""She might have had the politeness to send that message at first, but it's better late than never. And what did she give young Rantipole here?""","CLUE","Games"
"Jupiter","Brunei Darussalam",0.04,0.87,0.66,217,"""I have seen it, Herbert, and dreamed of it, ever since the fatal night of his arrival. Nothing has been in my thoughts so distinctly as his putting himself in the way of being taken.""","Brahms","Composers"
"Saturn","Palau",0.6,0.72,0.71,203,"""And she an't over partial to having scholars on the premises,"" Joe continued, ""and in partickler would not be over partial to my being a scholar, for fear as I might rise. Like a sort of rebel, don't you see?""","Dominion","Games"
"Mars","Nicaragua",0.08,0.44,0.11,289,"Some sense of the grimly-ludicrous moved me to a fretful laugh, as I replied, ""I have looked over it. In Heaven's name, don't harp upon it!""","Stravinsky","Composers"
"Pluto","Belize",0.81,0.35,0.44,290,"""Well, Mas'r Jaggers,"" said Mike, wiping his nose on his fur cap this time; ""in a general way, anythink.""","Wagner","Composers"
"Saturn","Denmark",0.62,0.64,0.09,241,"""Yes. Ask him,"" said Herbert, ""when we sit at breakfast in the morning."" For he had said, on taking leave of Herbert, that he would come to breakfast with us.","Apples to Apples","Games"
"Jupiter","Liechtenstein",0.05,0.79,0.37,296,"When he had got his shilling, and had in course of time completed the ascent to his box, and had got away (which appeared to relieve his mind), I went into the front office with my little portmanteau in my hand and asked, Was Mr. Jaggers at home?","Stravinsky","Composers"
"Pluto","Tonga",0.45,0.83,0.22,259,"After darkly looking at his leg and me several times, he came closer to my tombstone, took me by both arms, and tilted me back as far as he could hold me; so that his eyes looked most powerfully down into mine, and mine looked most helplessly up into his.","Dvorak","Composers"
"Uranus","Algeria",0.28,0.74,0.85,279,"""What? You won't answer the question, yes or no? Now, I'll try you again."" Throwing his finger at him again. ""Attend to me. Are you aware, or are you not aware, that none of these witnesses have yet been cross-examined? Come, I only want one word from you. Yes, or no?""","Yahtzee","Games"
"Mars","Cayman Islands",0.83,0.56,0.29,318,"It was very aggravating; but, throughout the interview, Joe persisted in addressing Me instead of Miss Havisham.","Mendelssohn","Composers"
"Jupiter","French Southern Territories",0.13,0.31,0.81,197,"We had not gone far when three cannon were fired ahead of us with a sound that seemed to burst something inside my ear. ""You are expected on board,"" said the sergeant to my convict; ""they know you are coming. Don't straggle, my man. Close up here.""","UNO","Games"
"Neptune","Senegal",0.87,0.24,0.17,166,"""Did I?"" she replied, in an incidental and forgetful way. ""I remember I entertained a great objection to your adversary, because I took it ill that he should be brought here to pester me with his company.""","Dominion","Games"
"Jupiter","Sao Tome and Principe",0,0.69,0.98,189,"""Good. You had better try him in his own house. The way shall be prepared for you, and you can see his son first, who is in London. When will you come to London?""","Schumann","Composers"
"Neptune","United Arab Emirates",0.69,0.33,0.05,308,"""Instead of that,"" said I, plucking up more grass and chewing a blade or two, ""see how I am going on. Dissatisfied, and uncomfortable, and—what would it signify to me, being coarse and common, if nobody had told me so!""","JS Bach","Composers"
"Saturn","Greece",0.17,0.03,0.42,201,"""Everybody should know his own business,"" said Mr. Jaggers. And I saw Wemmick's lips form the words ""portable property.""","Debussy","Composers"
"Mars","Gibraltar",0.37,0.16,0.76,268,"""Certainly you know it. Then why didn't you say so at first? Now, I'll ask you another question,""—taking possession of Mr. Wopsle, as if he had a right to him,—""do you know that none of these witnesses have yet been cross-examined?""","Mendelssohn","Composers"
"Mars","Monaco",0.33,0.14,0.85,304,"""Saturday night,"" said I, when we sat at our supper of bread and cheese and beer. ""Five more days, and then the day before the day! They'll soon go.""","Debussy","Composers"
"Earth","Nauru",0.43,0.57,0.94,241,"O that he had never come! That he had left me at the forge,—far from contented, yet, by comparison happy!","Stratego","Games"
"Neptune","Christmas Island",0.87,0.96,0.46,211,"""With some money down,"" I replied, for an uneasy remembrance shot across me of that symmetrical bundle of papers at home—""with some money down, and perhaps some anticipation of my expectations.""","Mendelssohn","Composers"
"Venus","Iraq",0.93,0.02,0.85,240,"""So you did. And so he is. He was very communicative last night, and told me more of his life. You remember his breaking off here about some woman that he had had great trouble with.—Did I hurt you?""","Schubert","Composers"
"Neptune","Syria, Syrian Arab Republic",0.86,0.46,0.75,280,"""I wonder who's put into prison-ships, and why they're put there?"" said I, in a general way, and with quiet desperation.","Handel","Composers"
"Jupiter","Bolivia",0.15,0.64,0.13,245,"""Then, I have talked with Wemmick,"" said I, ""and have come to tell you what caution he gave me and what advice.""","CLUE","Games"
"Neptune","Lithuania",0.91,0.48,0.7,239,"""Have you heard, Joe,"" I asked him that evening, upon further consideration, as he smoked his pipe at the window, ""who my patron was?""","Battleship","Games"
"Saturn","Eritrea",0.14,0.31,0.3,315,"""Thankee!"" said Wemmick, rubbing his hands. ""She's such a manager of fowls, you have no idea. You shall have some eggs, and judge for yourself. I say, Mr. Pip!"" calling me back, and speaking low. ""This is altogether a Walworth sentiment, please.""","Chopin","Composers"
"Earth","Palestinian territories",0.1,0.12,0.02,295,"""Not wishful to intrude I have departured fur you are well again dear Pip and will do better without JO.","Chess","Games"
"Earth","Suriname",0.84,0.32,0.68,267,"I saw Miss Havisham put her hand to her heart and hold it there, as she sat looking by turns at Estella and at me.","Monopoly","Games"
"Pluto","Burundi",0.86,0.69,0.82,243,"Here Joe's hat tumbled off the mantel-piece, and he started out of his chair and picked it up, and fitted it to the same exact spot. As if it were an absolute point of good breeding that it should tumble off again soon.","Haydn","Composers"
"Pluto","Great Britain",0.89,0.86,0.71,216,"We Britons had at that time particularly settled that it was treasonable to doubt our having and our being the best of everything: otherwise, while I was scared by the immensity of London, I think I might have had some faint doubts whether it was not rather ugly, crooked, narrow, and dirty.","Dominion","Games"
"Neptune","Canada",0.4,0.94,0.88,130,"I took her hand in mine, and we went out of the ruined place; and, as the morning mists had risen long ago when I first left the forge, so the evening mists were rising now, and in all the broad expanse of tranquil light they showed to me, I saw no shadow of another parting from her.","Chess","Games"
"Venus","Panama",0.21,0.04,0.23,277,"""Joe,"" said I, taking hold of his rolled-up shirt sleeve, and twisting it between my finger and thumb, ""you remember all that about Miss Havisham's?""","Dominion","Games"
"Mars","Guam",0.05,0.07,0.27,350,"She gave me a triumphant glance in passing me, as if she rejoiced that my hands were so coarse and my boots were so thick, and she opened the gate, and stood holding it. I was passing out without looking at her, when she touched me with a taunting hand.","Liszt","Composers"
"Earth","East Timor (Timor-Leste)",0.8,0.5,0.14,289,"""Very well, then,"" said I, to whom this was a new and not unwelcome light, ""I have never left off adoring her. And she has come back, a most beautiful and most elegant creature. And I saw her yesterday. And if I adored her before, I now doubly adore her.""","Puerto Rico","Games"
